"산업분류별","성별","근속년수별",2020,2021,2022,2023,2024
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","전체","1-3년미만",2505,2552,2746,2807,2941
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","전체","3-5년미만",2865,2875,2905,3226,3327
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","전체","5-10년미만",3333,3375,3474,3663,3653
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","전체","10년이상",4235,4573,4808,5173,5244
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","남","전근속",3350,3531,3710,3756,3934
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","남","1년미만",2314,2552,2400,2647,2671
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","남","1-3년미만",2755,2789,2986,3016,3197
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","남","3-5년미만",3096,3117,3152,3533,3601
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","남","5-10년미만",3664,3576,3797,3991,4022
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","남","10년이상",4642,5045,5359,5650,5762
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","여","전근속",2542,2729,2796,2879,2970
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","여","1년미만",1939,2129,1966,2120,2183
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","여","1-3년미만",2192,2272,2421,2524,2624
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","여","3-5년미만",2593,2597,2603,2867,2960
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","여","5-10년미만",2803,3090,3026,3211,3149
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","여","10년이상",3525,3756,3891,4317,4295
"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","전체","전근속",3065,3157,3319,3391,3421
"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","전체","1년미만",2262,2331,2403,2421,2502
